"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","63","Circular             1052672           0 Microsoft-Windows-WerKernel/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","64","Circular             1052672         146 Microsoft-Windows-WER-PayloadHealth/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","65","Circular             1052672          21 Microsoft-Windows-WER-Diag/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","66","Circular             1052672             Microsoft-Windows-WEPHOSTSVC/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","67","Circular             1052672           0 Microsoft-Windows-WebIO/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","68","Circular             1052672             Microsoft-Windows-WebIO-NDF/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","69","Circular             5242880          53 Microsoft-Windows-WebAuthN/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","70","Circular             1052672             Microsoft-Windows-WebAuth/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","71","Circular             1052672        1887 Microsoft-Windows-Wcmsvc/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","72","Circular             1052672           0 Microsoft-Windows-VPN/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","73","Circular             1052672           0 Microsoft-Windows-VPN-Client/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","74","Circular             1052672         425 Microsoft-Windows-VolumeSnapshot-Driver/Operation…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","75","Circular             1052672         341 Microsoft-Windows-VHDMP-Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","76","Circular             1052672             Microsoft-Windows-VerifyHardwareSecurity/Operatio…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","77","Circular             1052672           0 Microsoft-Windows-VerifyHardwareSecurity/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","78","Circular             1052672           0 Microsoft-Windows-VDRVROOT/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","79","Circular             1052672         244 Microsoft-Windows-UserPnp/DeviceInstall","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","80","Circular             1052672           0 Microsoft-Windows-UserPnp/ActionCenter","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","81","Circular             1052672           0 Microsoft-Windows-User-Loader/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","82","Circular             4194304         334 Microsoft-Windows-User Profile Service/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","83","Circular             1052672          69 Microsoft-Windows-User Device Registration/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","84","Circular             1052672           0 Microsoft-Windows-User Control Panel/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","85","Circular             1052672        1794 Microsoft-Windows-UniversalTelemetryClient/Operat…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","86","Circular             1052672           0 Microsoft-Windows-UAC/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","87","Circular             1052672         910 Microsoft-Windows-UAC-FileVirtualization/Operatio…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","88","Circular             1052672           0 Microsoft-Windows-TZUtil/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","89","Circular             1052672          25 Microsoft-Windows-TZSync/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","90","Circular             1052672          53 Microsoft-Windows-TWinUI/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","91","Circular             1052672           0 Microsoft-Windows-Troubleshooting-Recommended/Ope…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","92","Circular             1052672           0 Microsoft-Windows-Troubleshooting-Recommended/Adm…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","93","Circular             1052672         713 Microsoft-Windows-Time-Service/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","94","Circular             1052672           0 Microsoft-Windows-Time-Service-PTP-Provider/PTP-O…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","95","Circular             1052672           0 Microsoft-Windows-TerminalServices-RemoteConnecti…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","96","Circular             1052672           0 Microsoft-Windows-TerminalServices-RemoteConnecti…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","97","Circular             1052672          25 Microsoft-Windows-TerminalServices-RDPClient/Oper…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","98","Circular             1052672           0 Microsoft-Windows-TerminalServices-Printers/Opera…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","99","Circular             1052672           0 Microsoft-Windows-TerminalServices-Printers/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","100","Circular             1052672           0 Microsoft-Windows-TerminalServices-PnPDevices/Ope…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","101","Circular             1052672           0 Microsoft-Windows-TerminalServices-PnPDevices/Adm…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","102","Circular             1052672         620 Microsoft-Windows-TerminalServices-LocalSessionMa…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","103","Circular             1052672           0 Microsoft-Windows-TerminalServices-LocalSessionMa…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","104","Circular             1052672           0 Microsoft-Windows-TerminalServices-ClientUSBDevic…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","105","Circular             1052672           0 Microsoft-Windows-TerminalServices-ClientUSBDevic…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","106","Circular             1052672             Microsoft-Windows-TCPIP/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","107","Circular            10485760             Microsoft-Windows-TaskScheduler/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","108","Circular             1052672         358 Microsoft-Windows-TaskScheduler/Maintenance","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","109","Circular             1052672           0 Microsoft-Windows-SystemSettingsThreshold/Operati…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","110","Circular            16777216          12 Microsoft-Windows-Storsvc/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","111","Circular            20000000       26328 Microsoft-Windows-Store/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","112","Circular             1052672           0 Microsoft-Windows-StorageSpaces-SpaceManager/Oper…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","113","Circular            16777216           0 Microsoft-Windows-StorageSpaces-SpaceManager/Diag…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","114","Circular             1052672           0 Microsoft-Windows-StorageSpaces-Parser/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","115","Circular            16777216           0 Microsoft-Windows-StorageSpaces-Parser/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","116","Circular             1052672           0 Microsoft-Windows-StorageSpaces-ManagementAgent/W…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","117","Circular             1052672          23 Microsoft-Windows-StorageSpaces-Driver/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","118","Circular            16777216           0 Microsoft-Windows-StorageSpaces-Driver/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","119","Circular             1052672           0 Microsoft-Windows-StorageSpaces-Api/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","120","Circular            67108864           0 Microsoft-Windows-StorageSettings/Diagnostic","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","121","Circular            33554432       12075 Microsoft-Windows-StorageManagement/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","122","Circular             1052672           0 Microsoft-Windows-StorageManagement-PartUtil/Oper…","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","123","Circular             1052672           0 Microsoft-Windows-Storage-Tiering/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","124","Circular            33554432        2265 Microsoft-Windows-Storage-Storport/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","125","Circular             6291456         432 Microsoft-Windows-Storage-Storport/Health","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","126","Circular             1052672             Microsoft-Windows-Storage-Storport/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","127","Circular            33554432           0 Microsoft-Windows-Storage-NvmeDisk/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","128","Circular             1052672             Microsoft-Windows-Storage-Disk/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","129","Circular             1052672             Microsoft-Windows-Storage-Disk/Admin","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
"True","130","Circular             6291456           0 Microsoft-Windows-Storage-ClassPnP/Operational","InputStream","InputStream","Windows",,"System.Text.RegularExpressions.Match[]"
